縣市,行政區別,總計,文理類合計,文理類[文理],文理類[外語],文理類[法政],技藝類合計,技藝類[電機_汽車修護_建築_工藝_製圖類],技藝類[資訊],技藝類[家政_插花烹飪],技藝類[縫紉],技藝類[美容_美髮_理髮],技藝類[音樂_舞蹈],技藝類[美術_書法_攝影_美工設計_圍棋],技藝類[心算_珠算_會計],技藝類[瑜珈],技藝類[速讀],技藝類[其他],區人口數
台南市,新營區,66,58,49,9,,8,,,,,,5,2,1,,,,75005
台南市,鹽水區,6,6,5,1,,,,,,,,,,,,,,24397
台南市,白河區,10,10,9,1,,,,,,,,,,,,,,26224
台南市,柳營區,5,5,4,1,,,,,,,,,,,,,,20432
台南市,後壁區,2,2,,2,,,,,,,,,,,,,,21823
台南市,東山區,2,2,2,,,,,,,,,,,,,,,19348
台南市,麻豆區,27,27,19,8,,,,,,,,,,,,,,42966
台南市,下營區,9,8,6,2,,1,,,,,,1,,,,,,22638
台南市,六甲區,14,13,12,1,,1,,,,,1,,,,,,,21323
台南市,官田區,8,7,6,1,,1,,,,,,,1,,,,,20849
台南市,大內區,1,1,1,,,,,,,,,,,,,,,8831
台南市,佳里區,54,48,39,8,,6,,,,,1,4,1,,,,,58185
台南市,學甲區,13,10,9,1,,3,,,,,,1,,2,,,,24725
台南市,西港區,12,12,8,4,,,,,,,,,,,,,,24747
台南市,七股區,2,2,1,1,,,,,,,,,,,,,,21458
台南市,將軍區,3,3,3,,,,,,,,,,,,,,,18564
台南市,北門區,0,,,,,,,,,,,,,,,,,10162
台南市,新化區,35,32,30,2,,3,,,,,,,2,1,,,,42542
台南市,善化區,34,33,29,4,,1,,1,,,,,,,,,,51921
台南市,新市區,37,35,27,8,,2,,,,,,2,,,,,,37530
台南市,安定區,14,13,11,2,,1,,,,,,,1,,,,,29916
台南市,山上區,3,3,2,1,,,,,,,,,,,,,,6966
台南市,玉井區,11,10,9,1,,1,,,,,,1,,,,,,13135
台南市,楠西區,3,2,2,,,1,,,,,,,,1,,,,8838
台南市,南化區,1,1,1,,,,,,,,,,,,,,,8100
台南市,左鎮區,,,,,,,,,,,,,,,,,,4338
台南市,仁德區,25,22,14,8,,3,,,,,,2,,1,,,,77028
台南市,歸仁區,50,42,30,12,,8,,,,,,8,,,,,,68175
台南市,關廟區,11,10,9,1,,1,,,,,,,,1,,,,33410
台南市,龍崎區,,,,,,,,,,,,,,,,,,3595
台南市,永康區,207,190,137,52,1,17,,2,,,1,9,,5,,,,234467
台南市,東區,270,236,170,66,,34,1,3,,,2,17,8,3,,,,180870
台南市,南區,63,59,49,10,,4,,,,,,,1,3,,,,121229
台南市,北區,127,115,82,32,1,12,2,1,,,,6,1,2,,,,126267
台南市,安南區,121,116,96,20,,5,,,,,,,1,3,,,1,199741
台南市,安平區,65,61,48,13,,4,,,,,,1,,2,,,1,68359
台南市,中西區,101,86,59,26,1,15,,2,,,2,5,2,3,,1,,77551
